epoch,phase,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
1,transfer_learning,0.6497161388397217,0.7974811792373657,0.4666549563407898,0.7468925714492798,0.8141484260559082,0.4123769700527191
2,transfer_learning,0.7469537258148193,0.8207862377166748,0.4077020287513733,0.7639396786689758,0.8214016556739807,0.3986591100692749
3,transfer_learning,0.7749406099319458,0.8271892666816711,0.38894158601760864,0.7679188847541809,0.8248869776725769,0.39625436067581177
